timestamp,ph,humidity,temp,conductivity,nitrogen,phosphorus,potassium,dissolved_oxygen,turbidity
2023-05-21 12:42:46.863268,7.09,44.1,22.1,458.7,37.3,16.5,138.1,14.0,4.72
2023-05-22 00:42:46.863268,7.11,56.7,22.6,484.1,42.8,19.2,151.8,14.69,4.05
2023-05-22 12:42:46.863268,6.84,45.3,22.0,465.3,39.5,17.4,141.1,13.67,4.67
2023-05-23 00:42:46.863268,7.21,53.4,22.1,461.3,38.3,17.0,139.5,14.07,3.93
2023-05-23 12:42:46.863268,6.98,41.4,21.5,427.5,34.3,14.8,127.1,13.63,5.06
2023-05-24 00:42:46.863268,7.16,52.8,22.0,452.8,37.9,16.7,137.1,14.13,4.34
2023-05-24 12:42:46.863268,7.14,44.2,22.2,463.7,37.7,16.6,139.6,13.9,4.07
2023-05-25 00:42:46.863268,7.04,53.9,22.0,453.0,39.8,17.5,141.0,13.72,4.3
2023-05-25 12:42:46.863268,7.17,42.6,21.9,450.7,35.7,15.5,133.5,14.05,2.51
2023-05-26 00:42:46.863268,7.28,59.2,23.3,520.8,46.2,20.8,163.9,14.29,2.79
2023-05-26 12:42:46.863268,6.99,47.3,22.6,481.2,42.4,18.7,151.2,13.17,2.27
2023-05-27 00:42:46.863268,6.99,61.7,23.4,521.0,50.2,22.6,171.7,13.72,4.18
2023-05-27 12:42:46.863268,7.0,41.2,21.5,425.6,34.7,14.8,127.6,14.0,3.97
2023-05-28 00:42:46.863268,7.07,56.3,22.5,477.4,43.3,19.1,151.4,14.21,4.9
2023-05-28 12:42:46.863268,6.89,44.7,22.0,459.5,39.6,17.2,140.7,13.99,1.69
2023-05-29 00:42:46.863268,6.89,55.9,22.2,470.6,43.3,19.0,148.9,14.24,3.97
2023-05-29 12:42:46.863268,6.99,50.7,23.2,512.2,47.3,21.0,165.5,13.94,2.7
2023-05-30 00:42:46.863268,7.21,50.3,21.6,434.4,35.5,15.2,129.4,14.4,4.04
2023-05-30 12:42:46.863268,7.08,43.8,22.1,456.2,38.3,16.6,139.3,13.55,14.34
2023-05-31 00:42:46.863268,7.07,53.4,22.0,451.2,39.9,17.3,140.7,14.05,4.58
2023-05-31 12:42:46.863268,6.97,44.1,22.0,452.8,39.1,16.9,139.9,14.07,3.24
2023-06-01 00:42:46.863268,7.04,48.5,23.8,440.4,35.2,14.9,125.9,13.94,3.68
2023-06-01 12:42:46.863268,7.12,47.6,25.5,529.4,44.8,19.7,159.5,13.24,3.16
2023-06-02 00:42:46.863268,6.98,58.1,25.4,524.2,47.8,21.1,163.5,13.73,4.52
2023-06-02 12:42:46.863268,6.89,46.2,25.0,509.8,43.7,19.0,152.7,12.52,3.97
2023-06-03 00:42:46.863268,6.99,50.7,24.1,457.4,38.5,16.4,134.9,13.51,2.95
2023-06-03 12:42:46.863268,6.83,45.5,24.8,504.7,43.1,18.6,149.7,12.85,5.39
2023-06-04 00:42:46.863268,6.91,57.0,25.1,515.5,46.9,20.5,159.2,13.36,5.38
2023-06-04 12:42:46.863268,6.96,45.6,24.9,501.4,42.9,18.6,150.9,13.03,2.88
2023-06-05 00:42:46.863268,7.01,54.2,24.8,490.2,43.2,18.7,149.3,13.99,4.98
2023-06-05 12:42:46.863268,7.05,48.1,25.5,528.4,46.2,20.2,162.0,13.4,3.21
2023-06-06 00:42:46.863268,7.12,52.1,24.5,479.5,40.4,17.3,142.2,13.7,4.32
2023-06-06 12:42:46.863268,6.97,44.0,24.7,487.8,41.2,17.6,145.4,13.13,2.89
2023-06-07 00:42:46.863268,7.01,56.1,25.1,506.7,45.9,19.9,157.2,13.41,2.91
2023-06-07 12:42:46.863268,7.15,44.9,25.1,507.5,42.0,18.1,150.5,13.18,3.12
2023-06-08 00:42:46.863268,7.08,55.7,25.1,508.9,45.4,19.7,156.5,13.7,5.38
2023-06-08 12:42:46.863268,7.0,45.9,25.0,503.3,43.8,18.8,153.4,13.39,3.04
2023-06-09 00:42:46.863268,6.84,56.2,24.9,510.2,46.7,20.2,157.0,13.88,24.25
2023-06-09 12:42:46.863268,7.06,43.2,24.7,485.4,40.4,17.1,143.8,12.54,4.15
2023-06-10 00:42:46.863268,6.82,52.9,24.3,480.7,42.6,18.1,144.0,13.73,3.63
2023-06-10 12:42:46.863268,6.92,44.9,24.8,497.4,43.0,18.3,149.8,13.59,4.46
2023-06-11 00:42:46.863268,6.92,58.7,25.5,531.9,50.1,21.8,167.9,13.38,3.47
2023-06-11 12:42:46.863268,6.84,44.7,24.6,496.2,43.0,18.2,148.5,13.55,4.0
